"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"20286","2023-09-10 18:19:33.470227","10.0.0.112","8080","14.0.0.120","37712","HTTP","1268","HTTP/1.1 404 Not Found  (text/html)"
"20287","2023-09-10 18:19:33.470563","14.0.0.120","37712","10.0.0.112","8080","HTTP","172","GET /manager/jmxproxy HTTP/1.1 "
"20290","2023-09-10 18:19:33.473033","10.0.0.112","8080","14.0.0.120","37662","HTTP","950","HTTP/1.1 401 Unauthorized  (text/html)"
"20292","2023-09-10 18:19:33.473479","14.0.0.120","37662","10.0.0.112","8080","HTTP","174","GET /manager/jmxproxy/* HTTP/1.1 "
"20293","2023-09-10 18:19:33.474095","10.0.0.112","8080","14.0.0.120","37700","HTTP","206","HTTP/1.1 302 Found  [Last Chunk]"
"20294","2023-09-10 18:19:33.474483","14.0.0.120","37700","10.0.0.112","8080","HTTP","168","GET /manager/list HTTP/1.1 "
"20296","2023-09-10 18:19:33.475345","10.0.0.112","8080","14.0.0.120","37644","HTTP","245","HTTP/1.1 404 Not Found  (text/html)"
"20298","2023-09-10 18:19:33.475907","14.0.0.120","37644","10.0.0.112","8080","HTTP","175","GET /manager/manager.xml HTTP/1.1 "
"20300","2023-09-10 18:19:33.476147","10.0.0.112","8080","14.0.0.120","37684","HTTP","950","HTTP/1.1 401 Unauthorized  (text/html)"
"20302","2023-09-10 18:19:33.476420","14.0.0.120","37684","10.0.0.112","8080","HTTP","170","GET /manager/reload HTTP/1.1 "
"20304","2023-09-10 18:19:33.484418","10.0.0.112","8080","14.0.0.120","37700","HTTP","307","HTTP/1.1 404 Not Found  (text/html)"
"20306","2023-09-10 18:19:33.484838","14.0.0.120","37700","10.0.0.112","8080","HTTP","170","GET /manager/remove HTTP/1.1 "
"20308","2023-09-10 18:19:33.485644","10.0.0.112","8080","14.0.0.120","37674","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20310","2023-09-10 18:19:33.486008","14.0.0.120","37674","10.0.0.112","8080","HTTP","173","GET /manager/resources HTTP/1.1 "
"20312","2023-09-10 18:19:33.486205","10.0.0.112","8080","14.0.0.120","37684","HTTP","309","HTTP/1.1 404 Not Found  (text/html)"
"20314","2023-09-10 18:19:33.486398","14.0.0.120","37684","10.0.0.112","8080","HTTP","169","GET /manager/roles HTTP/1.1 "
"20316","2023-09-10 18:19:33.490149","10.0.0.112","8080","14.0.0.120","37700","HTTP","309","HTTP/1.1 404 Not Found  (text/html)"
"20318","2023-09-10 18:19:33.490494","14.0.0.120","37700","10.0.0.112","8080","HTTP","168","GET /manager/save HTTP/1.1 "
"20320","2023-09-10 18:19:33.490614","10.0.0.112","8080","14.0.0.120","37684","HTTP","308","HTTP/1.1 404 Not Found  (text/html)"
"20322","2023-09-10 18:19:33.490929","14.0.0.120","37684","10.0.0.112","8080","HTTP","174","GET /manager/serverinfo HTTP/1.1 "
"20324","2023-09-10 18:19:33.497687","10.0.0.112","8080","14.0.0.120","37702","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20326","2023-09-10 18:19:33.497787","10.0.0.112","8080","14.0.0.120","37712","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20329","2023-09-10 18:19:33.498271","14.0.0.120","37702","10.0.0.112","8080","HTTP","172","GET /manager/sessions HTTP/1.1 "
"20330","2023-09-10 18:19:33.498280","14.0.0.120","37712","10.0.0.112","8080","HTTP","169","GET /manager/start HTTP/1.1 "
"20332","2023-09-10 18:19:33.499300","10.0.0.112","8080","14.0.0.120","37702","HTTP","311","HTTP/1.1 404 Not Found  (text/html)"
"20335","2023-09-10 18:19:33.499500","10.0.0.112","8080","14.0.0.120","37712","HTTP","308","HTTP/1.1 404 Not Found  (text/html)"
"20337","2023-09-10 18:19:33.499599","14.0.0.120","37702","10.0.0.112","8080","HTTP","174","GET /manager/status.xsd HTTP/1.1 "
"20338","2023-09-10 18:19:33.499809","14.0.0.120","37712","10.0.0.112","8080","HTTP","172","GET /manager/status/* HTTP/1.1 "
"20340","2023-09-10 18:19:33.500150","10.0.0.112","8080","14.0.0.120","37674","HTTP","312","HTTP/1.1 404 Not Found  (text/html)"
"20342","2023-09-10 18:19:33.500513","14.0.0.120","37674","10.0.0.112","8080","HTTP","168","GET /manager/stop HTTP/1.1 "
"20344","2023-09-10 18:19:33.501093","10.0.0.112","8080","14.0.0.120","37712","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20346","2023-09-10 18:19:33.501286","14.0.0.120","37712","10.0.0.112","8080","HTTP","172","GET /manager/undeploy HTTP/1.1 "
"20350","2023-09-10 18:19:33.501577","10.0.0.112","8080","14.0.0.120","37702","HTTP","299","HTTP/1.1 200 OK "
"20353","2023-09-10 18:19:33.501864","14.0.0.120","37702","10.0.0.112","8080","HTTP","175","GET /server-manager/html HTTP/1.1 "
"20354","2023-09-10 18:19:33.502686","10.0.0.112","8080","14.0.0.120","37702","HTTP","1227","HTTP/1.1 404 Not Found  (text/html)"
"20355","2023-09-10 18:19:33.503010","14.0.0.120","37702","10.0.0.112","8080","HTTP","172","GET /servlet/default/ HTTP/1.1 "
"20357","2023-09-10 18:19:33.503307","10.0.0.112","8080","14.0.0.120","37644","HTTP","314","HTTP/1.1 404 Not Found  (text/html)"
"20360","2023-09-10 18:19:33.503577","10.0.0.112","8080","14.0.0.120","37662","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20362","2023-09-10 18:19:33.503703","14.0.0.120","37644","10.0.0.112","8080","HTTP","246","GET /servlet/org.apache.catalina.INVOKER.org.apache.catalina.servlets.DefaultServlet/tomcat.gif HTTP/1.1 "
"20363","2023-09-10 18:19:33.503776","14.0.0.120","37662","10.0.0.112","8080","HTTP","236","GET /servlet/org.apache.catalina.INVOKER.org.apache.catalina.servlets.SnoopAllServlet HTTP/1.1 "
"20365","2023-09-10 18:19:33.503938","10.0.0.112","8080","14.0.0.120","37718","HTTP","309","HTTP/1.1 404 Not Found  (text/html)"
"20367","2023-09-10 18:19:33.504321","14.0.0.120","37718","10.0.0.112","8080","HTTP","235","GET /servlet/org.apache.catalina.INVOKER.org.apache.catalina.servlets.WebdavServlet/ HTTP/1.1 "
"20369","2023-09-10 18:19:33.505050","10.0.0.112","8080","14.0.0.120","37644","HTTP","1370","HTTP/1.1 404 Not Found  (text/html)"
"20370","2023-09-10 18:19:33.505239","14.0.0.120","37644","10.0.0.112","8080","HTTP","208","GET /servlet/org.apache.catalina.servlets.DefaultServlet/ HTTP/1.1 "
"20371","2023-09-10 18:19:33.505556","10.0.0.112","8080","14.0.0.120","37662","HTTP","1350","HTTP/1.1 404 Not Found  (text/html)"
"20372","2023-09-10 18:19:33.505804","14.0.0.120","37662","10.0.0.112","8080","HTTP","218","GET /servlet/org.apache.catalina.servlets.DefaultServlet/tomcat.gif HTTP/1.1 "
"20374","2023-09-10 18:19:33.506952","10.0.0.112","8080","14.0.0.120","37700","HTTP","307","HTTP/1.1 404 Not Found  (text/html)"
"20376","2023-09-10 18:19:33.507050","10.0.0.112","8080","14.0.0.120","37684","HTTP","313","HTTP/1.1 404 Not Found  (text/html)"
"20380","2023-09-10 18:19:33.507234","10.0.0.112","8080","14.0.0.120","37722","HTTP","310","HTTP/1.1 404 Not Found  (text/html)"
"20381","2023-09-10 18:19:33.507236","14.0.0.120","37700","10.0.0.112","8080","HTTP","211","GET /servlet/org.apache.catalina.servlets.HTMLManagerServlet HTTP/1.1 "
"20383","2023-09-10 18:19:33.507517","14.0.0.120","37722","10.0.0.112","8080","HTTP","262","GET /servlet/org.apache.catalina.servlets.InvokerServlet/org.apache.catalina.servlets.DefaultServlet/tomcat.gif HTTP/1.1 "
"20384","2023-09-10 18:19:33.507611","14.0.0.120","37684","10.0.0.112","8080","HTTP","252","GET /servlet/org.apache.catalina.servlets.InvokerServlet/org.apache.catalina.servlets.SnoopAllServlet HTTP/1.1 "
"20385","2023-09-10 18:19:33.508130","10.0.0.112","8080","14.0.0.120","37722","HTTP","1402","HTTP/1.1 404 Not Found  (text/html)"
"20386","2023-09-10 18:19:33.508352","14.0.0.120","37722","10.0.0.112","8080","HTTP","207","GET /servlet/org.apache.catalina.servlets.ManagerServlet HTTP/1.1 "
"20387","2023-09-10 18:19:33.508648","10.0.0.112","8080","14.0.0.120","37700","HTTP","1300","HTTP/1.1 404 Not Found  (text/html)"
"20388","2023-09-10 18:19:33.508727","10.0.0.112","8080","14.0.0.120","37684","HTTP","1382","HTTP/1.1 404 Not Found  (text/html)"
"20389","2023-09-10 18:19:33.509115","14.0.0.120","37684","10.0.0.112","8080","HTTP","208","GET /servlet/org.apache.catalina.servlets.SnoopAllServlet HTTP/1.1 "
"20390","2023-09-10 18:19:33.509121","14.0.0.120","37700","10.0.0.112","8080","HTTP","207","GET /servlet/org.apache.catalina.servlets.WebdavServlet/ HTTP/1.1 "
"20391","2023-09-10 18:19:33.509600","10.0.0.112","8080","14.0.0.120","37684","HTTP","1294","HTTP/1.1 404 Not Found  (text/html)"
"20392","2023-09-10 18:19:33.509878","14.0.0.120","37684","10.0.0.112","8080","HTTP","173","GET /servlets-examples HTTP/1.1 "
"20393","2023-09-10 18:19:33.510264","10.0.0.112","8080","14.0.0.120","37718","HTTP","1348","HTTP/1.1 404 Not Found  (text/html)"
"20394","2023-09-10 18:19:33.510539","14.0.0.120","37718","10.0.0.112","8080","HTTP","162","GET /status HTTP/1.1 "
"20395","2023-09-10 18:19:33.510849","10.0.0.112","8080","14.0.0.120","37684","HTTP","1223","HTTP/1.1 404 Not Found  (text/html)"
"20396","2023-09-10 18:19:33.511175","14.0.0.120","37684","10.0.0.112","8080","HTTP","167","GET /tomcat-docs HTTP/1.1 "
"20397","2023-09-10 18:19:33.511496","10.0.0.112","8080","14.0.0.120","37718","HTTP","1201","HTTP/1.1 404 Not Found  (text/html)"
"20398","2023-09-10 18:19:33.511741","14.0.0.120","37718","10.0.0.112","8080","HTTP","175","GET /tomcat/manager/html HTTP/1.1 "
"20399","2023-09-10 18:19:33.512107","10.0.0.112","8080","14.0.0.120","37684","HTTP","1211","HTTP/1.1 404 Not Found  (text/html)"
"20400","2023-09-10 18:19:33.512365","14.0.0.120","37684","10.0.0.112","8080","HTTP","167","GET /web-console HTTP/1.1 "
"20401","2023-09-10 18:19:33.512905","10.0.0.112","8080","14.0.0.120","37702","HTTP","1221","HTTP/1.1 404 Not Found  (text/html)"
"20402","2023-09-10 18:19:33.513197","14.0.0.120","37702","10.0.0.112","8080","HTTP","175","GET /web-console/Invoker HTTP/1.1 "
"20403","2023-09-10 18:19:33.513574","10.0.0.112","8080","14.0.0.120","37718","HTTP","1227","HTTP/1.1 404 Not Found  (text/html)"
"20404","2023-09-10 18:19:33.513828","14.0.0.120","37718","10.0.0.112","8080","HTTP","162","GET /webdav HTTP/1.1 "
"20405","2023-09-10 18:19:33.514166","10.0.0.112","8080","14.0.0.120","37702","HTTP","1227","HTTP/1.1 404 Not Found  (text/html)"
"20406","2023-09-10 18:19:33.514478","14.0.0.120","37702","10.0.0.112","8080","HTTP","173","GET /webdav/index.html HTTP/1.1 "
"20407","2023-09-10 18:19:33.514741","10.0.0.112","8080","14.0.0.120","37700","HTTP","1292","HTTP/1.1 404 Not Found  (text/html)"
"20408","2023-09-10 18:19:33.514841","10.0.0.112","8080","14.0.0.120","37684","HTTP","1211","HTTP/1.1 404 Not Found  (text/html)"
"20409","2023-09-10 18:19:33.515145","14.0.0.120","37684","10.0.0.112","8080","HTTP","214","GET /webdav/servlet/org.apache.catalina.servlets.WebdavServlet/ HTTP/1.1 "
"20410","2023-09-10 18:19:33.515242","14.0.0.120","37700","10.0.0.112","8080","HTTP","178","GET /webdav/servlet/webdav/ HTTP/1.1 "
"20411","2023-09-10 18:19:33.515499","10.0.0.112","8080","14.0.0.120","37702","HTTP","1223","HTTP/1.1 404 Not Found  (text/html)"
"20412","2023-09-10 18:19:33.516013","10.0.0.112","8080","14.0.0.120","37700","HTTP","1233","HTTP/1.1 404 Not Found  (text/html)"
"20413","2023-09-10 18:19:33.516114","10.0.0.112","8080","14.0.0.120","37718","HTTP","1201","HTTP/1.1 404 Not Found  (text/html)"
"20414","2023-09-10 18:19:33.516532","10.0.0.112","8080","14.0.0.120","37722","HTTP","1292","HTTP/1.1 404 Not Found  (text/html)"
"20416","2023-09-10 18:19:33.517217","10.0.0.112","8080","14.0.0.120","37674","HTTP","307","HTTP/1.1 404 Not Found  (text/html)"
"20419","2023-09-10 18:19:33.518005","10.0.0.112","8080","14.0.0.120","37712","HTTP","311","HTTP/1.1 404 Not Found  (text/html)"
"20420","2023-09-10 18:19:33.518124","10.0.0.112","8080","14.0.0.120","37684","HTTP","1306","HTTP/1.1 404 Not Found  (text/html)"
"20422","2023-09-10 18:19:33.519304","10.0.0.112","8080","14.0.0.120","37662","HTTP","1314","HTTP/1.1 404 Not Found  (text/html)"
"20423","2023-09-10 18:19:33.519309","10.0.0.112","8080","14.0.0.120","37644","HTTP","1294","HTTP/1.1 404 Not Found  (text/html)"
"20425","2023-09-10 18:19:33.522608","10.0.0.112","8080","14.0.0.120","37660","HTTP","1292","HTTP/1.1 500 Internal Server Error  (text/html)"
"20476","2023-09-10 18:19:41.885687","14.0.0.120","37736","10.0.0.112","8080","HTTP","413","GET /examples HTTP/1.1 "
"20478","2023-09-10 18:19:41.887619","10.0.0.112","8080","14.0.0.120","37736","HTTP","207","HTTP/1.1 302 Found  [Last Chunk]"
"20480","2023-09-10 18:19:41.890868","14.0.0.120","37736","10.0.0.112","8080","HTTP","414","GET /examples/ HTTP/1.1 "
"20482","2023-09-10 18:19:41.891875","10.0.0.112","8080","14.0.0.120","37736","HTTP","99","HTTP/1.1 200 OK  (text/html)"
"20484","2023-09-10 18:19:43.519260","14.0.0.120","37736","10.0.0.112","8080","HTTP","465","GET /examples/servlets HTTP/1.1 "
"20485","2023-09-10 18:19:43.520450","10.0.0.112","8080","14.0.0.120","37736","HTTP","202","HTTP/1.1 302 Found "
"20486","2023-09-10 18:19:43.523811","14.0.0.120","37736","10.0.0.112","8080","HTTP","466","GET /examples/servlets/ HTTP/1.1 "
"20492","2023-09-10 18:19:43.525036","10.0.0.112","8080","14.0.0.120","37736","HTTP","1461","HTTP/1.1 200 OK  (text/html)"
"20494","2023-09-10 18:19:43.562426","14.0.0.120","37736","10.0.0.112","8080","HTTP","403","GET /examples/servlets/images/execute.gif HTTP/1.1 "
"20501","2023-09-10 18:19:43.563387","14.0.0.120","41388","10.0.0.112","8080","HTTP","400","GET /examples/servlets/images/code.gif HTTP/1.1 "
"20503","2023-09-10 18:19:43.563508","14.0.0.120","41404","10.0.0.112","8080","HTTP","402","GET /examples/servlets/images/return.gif HTTP/1.1 "
"20506","2023-09-10 18:19:43.565934","10.0.0.112","8080","14.0.0.120","37736","HTTP","88","HTTP/1.1 200 OK  (GIF89a)"
"20508","2023-09-10 18:19:43.567521","10.0.0.112","8080","14.0.0.120","41388","HTTP","584","HTTP/1.1 200 OK  (GIF89a)"
"20511","2023-09-10 18:19:43.568400","10.0.0.112","8080","14.0.0.120","41404","HTTP","77","HTTP/1.1 200 OK  (GIF89a)"
"20519","2023-09-10 18:19:56.459956","14.0.0.120","37736","10.0.0.112","8080","HTTP","412","GET /manager HTTP/1.1 "
"20520","2023-09-10 18:19:56.460931","10.0.0.112","8080","14.0.0.120","37736","HTTP","206","HTTP/1.1 302 Found  [Last Chunk]"
"20521","2023-09-10 18:19:56.465429","14.0.0.120","37736","10.0.0.112","8080","HTTP","413","GET /manager/ HTTP/1.1 "
"20522","2023-09-10 18:19:56.478264","10.0.0.112","8080","14.0.0.120","37736","HTTP","221","HTTP/1.1 302 Found "
"20523","2023-09-10 18:19:56.482792","14.0.0.120","37736","10.0.0.112","8080","HTTP","417","GET /manager/html HTTP/1.1 "
"20525","2023-09-10 18:19:56.484097","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20533","2023-09-10 18:20:05.732911","14.0.0.120","37736","10.0.0.112","8080","HTTP","456","GET /manager/html HTTP/1.1 "
"20535","2023-09-10 18:20:05.737181","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20537","2023-09-10 18:20:07.884333","14.0.0.120","37736","10.0.0.112","8080","HTTP","460","GET /manager/html HTTP/1.1 "
"20539","2023-09-10 18:20:07.885738","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20541","2023-09-10 18:20:09.664242","14.0.0.120","37736","10.0.0.112","8080","HTTP","448","GET /manager/html HTTP/1.1 "
"20543","2023-09-10 18:20:09.666047","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20545","2023-09-10 18:20:16.440021","14.0.0.120","37736","10.0.0.112","8080","HTTP","456","GET /manager/html HTTP/1.1 "
"20547","2023-09-10 18:20:16.441573","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20549","2023-09-10 18:20:21.097401","14.0.0.120","37736","10.0.0.112","8080","HTTP","460","GET /manager/html HTTP/1.1 "
"20551","2023-09-10 18:20:21.098748","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20553","2023-09-10 18:20:24.030141","14.0.0.120","37736","10.0.0.112","8080","HTTP","456","GET /manager/html HTTP/1.1 "
"20568","2023-09-10 18:20:24.049392","10.0.0.112","8080","14.0.0.120","37736","HTTP","80","HTTP/1.1 200 OK  (text/html)"
"20571","2023-09-10 18:20:24.104212","14.0.0.120","37736","10.0.0.112","8080","HTTP","478","GET /manager/images/tomcat.gif HTTP/1.1 "
"20576","2023-09-10 18:20:24.105839","10.0.0.112","8080","14.0.0.120","37736","HTTP","912","HTTP/1.1 200 OK  (GIF89a)"
"20579","2023-09-10 18:20:24.108540","14.0.0.120","37736","10.0.0.112","8080","HTTP","480","GET /manager/images/asf-logo.svg HTTP/1.1 "
"20599","2023-09-10 18:20:24.110531","10.0.0.112","8080","14.0.0.120","37736","HTTP/XML","1338","HTTP/1.1 200 OK "
"20616","2023-09-10 18:22:14.310812","14.0.0.120","44062","10.0.0.112","8080","HTTP","712","POST /manager/html/upload;jsessionid=0DE586F27B2F48D0CA045F731E0E9E71?org.apache.catalina.filters.CSRF_NONCE=83EDF4E2462ECC725BAF342DD7A46974 HTTP/1.1 "
"20642","2023-09-10 18:22:14.416667","10.0.0.112","8080","14.0.0.120","44062","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"20644","2023-09-10 18:22:23.099410","14.0.0.120","44062","10.0.0.112","8080","HTTP","581","GET /JXQOZY/ HTTP/1.1 "
"20649","2023-09-10 18:22:23.279670","10.0.0.112","8080","14.0.0.120","44062","HTTP","299","HTTP/1.1 200 OK  (text/html)"
"20671","2023-09-10 18:24:03.545590","14.0.0.120","38118","10.0.0.112","8080","HTTP","465","GET /examples/ HTTP/1.1 "
"20674","2023-09-10 18:24:03.548243","10.0.0.112","8080","14.0.0.120","38118","HTTP","99","HTTP/1.1 200 OK  (text/html)"
